시도,시군구,시설명,주소,전화번호,팩스번호,홈페이지 주소,주차대수,공-사설 구분,화장로수,식당,매점,주차장,유족대기실,장애인편의시설
강원특별자치도,태백시,태백시화장장,강원 태백시 백두대간로 844 (창죽동 26-5) ,033-550-2844,033-550-2961,www.taebaek.go.kr/www/contents.do?key=435,50,공설,3,미설치,설치,설치,설치,미설치
충청북도,제천시,제천시영원한쉼터,충청북도 제천시 송학면 송학주천로9길 122 (포전리),043-644-6613,043-642-0240,www.okjc.net/welfare/contents.do?key=771,150,공설,4,미설치,설치,설치,설치,설치
충청북도,청주시,청주시목련공원,"충청북도 청주시 상당구 목련로 731 (월오동,목련공원)",043-270-8578,043-201-1948,www.cjsisul.or.kr/home/sub.do?menukey=254,181,공설,11,설치,설치,설치,설치,설치
충청북도,충주시,충주시시설관리공단,충청북도 충주시 목벌길 256 (목벌동),043-830-9444,043-851-9466,www.cjfmc.or.kr/www/contents.do?key=91,10,공설,6,설치,설치,설치,설치,미설치
충청남도,공주시,공주나래원,"충청남도 공주시 이인면 삼배실길 70 (운암리, 나래원)",041-840-8980,041-840-3787,www.gongju.go.kr/naraewon/index.do,297,공설,5,설치,설치,설치,설치,설치
충청남도,천안시,천안추모공원,"충청남도 천안시 동남구 광덕면 밤나무골길 38 (원덕리, 천안추모공원)",041-529-5141,041-557-4280,www.cfmc.or.kr/_chpark/,400,공설,9,설치,설치,설치,설치,설치
충청남도,홍성군,홍성추모공원,"충청남도 홍성군 금마면 금마로516번길 85 (봉서리, 화장장)",041-633-7780,041-630-9597,choomo.hongseong.go.kr,227,공설,8,설치,설치,설치,설치,미설치
전북특별자치도,군산시,군산시승화원,"전라북도 군산시 임피면 서원석곡로 436-34 (보석리, 승화원)",063-454-7950,063-453-4056,,10,공설,5,미설치,설치,설치,설치,미설치
전북특별자치도,남원시,남원시승화원,전북 남원시 광치동 690-1 ,063-632-5874,063-625-6130,www.namwon.go.kr/index.do?menuCd=DOM_000000203001005000,10,공설,5,미설치,미설치,설치,설치,미설치
전북특별자치도,익산시,익산하늘공원정수원,전북 익산시 석왕동 235-13,063-859-3840,063-859-3868,-,10,공설,5,미설치,미설치,설치,미설치,미설치
전북특별자치도,전주시완산구,전주시승화원,"전라북도 전주시 완산구 콩쥐팥쥐로 1705-138(효자동3가, 전주승화원)",063-239-2690,063-237-0094,www.jjss.or.kr/index.9is?contentUid=ff8080816c5f9de6016cb28ed2740026,50,공설,8,설치,설치,설치,설치,설치
전북특별자치도,정읍시,서남권추모공원,전라북도 정읍시 감곡면 정읍북로 1850 (통석리),063-539-6726,063-538-6517,www.jeongeup.go.kr/index.jeongeup?menuCd=DOM_000000103016002000,10,공설,5,설치,설치,설치,설치,설치
전라남도,고흥군,국립소록도병원화장장,전남 고흥군 도양읍 소록리 1번지,061-840-0586,061-840-0517,www.sorokdo.go.kr,,공설,0,설치,설치,설치,미설치,미설치
전라남도,곡성군,재단법인 아름다운청계공원,전라남도 곡성군 곡성읍 청계동로 457 (신기리),070-8677-2232,061-363-1924,,23,사설,1,미설치,미설치,설치,설치,미설치
전라남도,광양시,광양시화장장,전라남도 광양시 광양읍 직동1길 300 (죽림리),061-762-4449,061-762-4494,cemetery.gwangyang.go.kr,10,공설,5,설치,미설치,설치,설치,미설치
전라남도,목포시,목포추모공원,전라남도 목포시 고하대로 1140-41 (대양동),061-272-0095,061-278-0095,www.mokpopark.com,333,공설,7,설치,설치,설치,설치,미설치
전라남도,순천시,순천시립추모공원,"전라남도 순천시 양율길 132 (야흥동, 유택동산,화장장,봉안당)",061-749-6168,061-749-4644,,310,공설,5,미설치,설치,설치,설치,미설치
전라남도,여수시,승화원(화장장),전라남도 여수시 소라면 의곡길 494,061-659-1795,061-659-5889,www.yeosu.go.kr/www/sphere/welfare/funeral/public/crematorium,67,공설,5,미설치,설치,설치,설치,설치
전라남도,해남군,남도광역추모공원,전라남도 해남군 황산면 호교길 241-250(원호리),061-530-5141,061-530-5582,namdo.haenam.go.kr/,189,공설,4,설치,설치,설치,설치,설치
경상북도,경주시,경주하늘마루,경상북도 경주시 서면 하늘마루길 330 (도리),054-779-8547,054-760-7545,www.gyeongju.go.kr/area/page.do?mnu_uid=1290,281,공설,9,설치,설치,설치,설치,미설치
경상북도,구미시,구미시추모공원,경상북도 구미시 옥성면 추모공원로 81 (농소리),054-480-2320,054-481-3050,www.gmuc.or.kr/sisul/index.do,126,공설,7,설치,설치,설치,설치,설치
경상북도,김천시,김천시립추모공원,경상북도 김천시 봉산면 영남대로 431 (신암리),054-421-1616,054-437-1820,www.gcfmc.or.kr/gc_memorialpark/,307,공설,4,설치,설치,설치,설치,설치
경상북도,문경시,문경예송원,경상북도 문경시 유곡불정로 239-39 (불정동),054-550-6507,054-553-3270,www.gbmg.go.kr/portal/contents.do?mId=0404060100,22,공설,3,미설치,미설치,설치,설치,설치
경상북도,상주시,상주시승천원,경상북도 상주시 병성천2길 560 (병성동),054-537-7926,054-534-8045,www.sangju.go.kr/page/3181/2359.tc,44,공설,3,설치,설치,설치,설치,설치
경상북도,안동시,안동장사문화공원,경상북도 안동시 풍천면 운골길 205 (도양리),054-850-4780,054-859-1229,memorial.andongsisul.or.kr/,81,공설,5,설치,설치,설치,설치,미설치
경상북도,영주시,영주시화장장,"경상북도 영주시 조와로 48-186 (고현동, 영주시립화장장)",054-639-4878,054-631-9473,www.yeongju.go.kr/open_content/main/page.do?mnu_uid=4020&,5,공설,2,미설치,미설치,설치,미설치,미설치
경상북도,울릉군,울릉하늘섬공원,경북 울릉군 서면 남서리 303,054-791-1888,054-791-1888,,5,공설,2,미설치,미설치,설치,미설치,미설치
경상북도,울진군,울진군립추모원,경상북도 울진군 울진읍 대흥신림로 1046-280 (신림리),054-789-6109,054-789-3640,www.uljin.go.kr/index.uljin?menuCd=DOM_000000105012001001,26,공설,3,미설치,미설치,미설치,미설치,미설치
경상북도,의성군,의성군공설화장장,경상북도 의성군 의성읍 의성길안로 287-29 (중리리),054-833-1103,054-834-1103,www.usc.go.kr/facility/tabBoard/view.tc?mn=2414&pageSeq=1640&tabBoardSeq=34,10,공설,4,미설치,미설치,설치,설치,미설치
경상북도,포항시,포항시립구룡포화장장,"경상북도 포항시 남구 구룡포읍 구룡포길39번길 64 (구룡포리, 구룡포화장장)",054-270-5960,054-270-6911,,,공설,1,미설치,미설치,미설치,미설치,미설치
경상북도,포항시,포항시우현화장장,포항시 북구 소티재로 69-12(우현동),054-270-5815,054-241-5016,,50,공설,3,미설치,설치,설치,설치,미설치
경상남도,고성군,고성군공설화장장,경남 고성군 상리면 자은리 산85-1,055-670-2923,055-674-7792,,,공설,2,미설치,설치,설치,설치,미설치
경상남도,김해시,김해추모의공원,경상남도 김해시 주촌면 서부로1637번길 574 (덕암리),055-337-3946,055-337-4076,www.gimhaememorialpark.or.kr/,10,공설,6,미설치,미설치,설치,미설치,미설치
경상남도,남해군,남해추모누리 영화원,"경상남도 남해군 서면 연죽로 46-77 (연죽리, 남해공설종합묘원추모누리)",055-860-3681,055-860-3881,www.namhae.go.kr/depart/Index.do?c=DE0106010100&pageCd=DE0106010000&siteGubun=depart,50,공설,3,설치,설치,설치,설치,설치
경상남도,밀양시,밀양시공설화장시설,경상남도 밀양시 북성로7길 59 (교동 476-1번지)  ,055-359-4634,055-354-7333,www.myfmc.or.kr/sub/04_01.php,50,공설,3,미설치,미설치,설치,설치,설치
경상남도,사천시,사천시 누리원(화장시설),경상남도 사천시 해안관광로 208-66 (송포동) ,055-831-4590,055-831-6112,www.sacheon.go.kr/life/00321/00391.web,10,공설,4,설치,미설치,설치,설치,미설치
경상남도,진주시,진주시안락공원,"경상남도 진주시 진산로 141-42 (장재동, 진주시안락공원)",055-759-3672,055-759-3681,www.jinju.go.kr/00134/00614/00753.web,80,공설,7,설치,미설치,설치,설치,미설치
경상남도,창원시,창원시립마산화장장,경남 창원시 마산합포구 진동면  공원묘원로 232 마산화장장,055-712-0224,055-712-0228,www.cwsisul.or.kr/_masanch/_sub01/sub01_01.html,,공설,3,설치,설치,설치,설치,미설치
경상남도,창원시,창원시립상복공원,경상남도 창원시 성산구 공단로474번길 160 ,055-712-0920,055-712-0909,www.cwsisul.or.kr/_sangbok/index.php,450,공설,8,설치,설치,설치,설치,설치
경상남도,통영시,통영시추모공원,경상남도 통영시 장대길 115 (정량동),055-650-4883,055-650-4299,www.tongyeong.go.kr/00973/00979/01046.web,46,공설,4,미설치,미설치,설치,미설치,미설치
경상남도,함안군,함안하늘공원(화장시설),경상남도 함안군 가야읍 함마대로 1145  함안하늘공원,055-585-7182,055-585-7185,hamanhaneul.or.kr/,88,공설,4,설치,미설치,설치,설치,설치
제주특별자치도,제주시,양지공원,제주특별자치도 제주시 516로 2810-31 (영평동),064-702-4065,064-702-4066,www.jeju.go.kr/wel/burial/facInfo/yangji/facInfo.htm,180,공설,8,설치,설치,설치,설치,설치
